?? ?????,1,2,3,4,5,6, ???? ???,?? ????? + ?? ???,?? ?????
3050,1,4,27,34,36,37,7,0,0
3049,10,13,18,26,31,33,4,0,0
3048,1,5,11,12,22,27,2,0,0
3047,1,3,18,20,23,37,4,1,0
3046,7,13,16,18,19,28,5,0,0
3045,4,5,8,25,26,33,7,0,0
3044,2,6,17,22,30,33,5,0,0
3043,9,16,22,23,25,28,3,0,0
3042,2,9,11,16,23,35,1,0,0
3041,2,14,25,26,32,33,4,0,0
3040,6,9,26,29,36,37,1,1,0
3039,2,9,15,26,29,35,5,0,1
3038,3,11,13,25,28,35,1,1,0
3037,13,19,21,27,29,32,3,0,0
3036,11,22,27,32,34,36,3,0,0
3035,2,7,8,9,10,15,2,1,2
3034,8,11,22,29,30,32,1,0,0
3033,7,13,15,19,28,36,6,0,0
3032,5,7,11,12,28,34,5,0,0
3031,2,9,11,13,19,28,3,0,0
3030,1,3,29,30,32,37,3,0,0
3029,2,9,13,17,21,26,6,0,0
3028,19,26,30,31,33,35,3,0,0
3027,5,7,11,14,23,36,2,1,0
3026,8,10,18,23,29,30,7,0,0
3025,5,9,10,12,34,35,1,0,0
3024,8,10,14,17,25,34,5,0,0
3023,1,3,11,15,26,32,7,0,0
3022,1,8,19,22,34,35,6,0,0
3021,9,20,22,23,27,32,7,0,0
3020,12,13,16,20,21,32,2,0,0
3019,18,21,23,25,27,34,7,0,0
3018,1,13,26,31,34,37,4,0,0
3017,7,10,21,27,33,36,5,1,0
3016,2,4,10,14,23,28,6,0,0
3015,6,10,18,23,33,36,6,0,0
3014,4,8,11,29,34,35,7,0,0
3013,2,14,18,23,30,32,4,0,0
3012,10,12,22,23,30,37,5,3,0
3011,4,6,9,12,32,36,1,0,0
3010,4,6,7,10,11,18,2,0,0
3009,5,11,16,18,23,26,1,0,0
3008,13,15,26,27,29,37,7,1,0
3007,6,7,12,22,23,28,6,2,0
3006,2,10,11,22,28,33,6,0,0
3005,5,11,12,18,28,35,3,0,0
3004,1,7,11,22,24,34,2,0,0
3003,1,23,26,31,33,37,5,0,0
3002,3,10,11,20,24,30,2,0,0
3001,1,2,3,13,22,30,7,0,0
3000,2,9,17,23,27,31,1,0,0
2999,2,5,8,20,22,28,3,2,0
2998,5,6,11,13,21,30,5,0,0
2997,7,8,10,19,27,37,6,0,0
2996,22,24,28,29,30,33,4,0,0
2995,3,25,26,30,31,34,3,0,0
